Drug,Review URL
Lamisil,http://www.druglib.com/ratingsreviews/lamisil/
Lamotrigine,http://www.druglib.com/ratingsreviews/lamotrigine/
Levaquin,http://www.druglib.com/ratingsreviews/levaquin/
Levitra,http://www.druglib.com/ratingsreviews/levitra/
Levoxyl,http://www.druglib.com/ratingsreviews/levoxyl/
Lexapro,http://www.druglib.com/ratingsreviews/lexapro/
Lipitor,http://www.druglib.com/ratingsreviews/lipitor/
Lithium-Carbonate,http://www.druglib.com/ratingsreviews/lithium-carbonate/
Lorazepam,http://www.druglib.com/ratingsreviews/lorazepam/
Lortab,http://www.druglib.com/ratingsreviews/lortab/
Lumigan,http://www.druglib.com/ratingsreviews/lumigan/
Lunesta,http://www.druglib.com/ratingsreviews/lunesta/
Lyrica,http://www.druglib.com/ratingsreviews/lyrica/
Macrobid,http://www.druglib.com/ratingsreviews/macrobid/
Malarone,http://www.druglib.com/ratingsreviews/malarone/
Maxalt,http://www.druglib.com/ratingsreviews/maxalt/
Meridia,http://www.druglib.com/ratingsreviews/meridia/
Metformin,http://www.druglib.com/ratingsreviews/metformin/
Methadone,http://www.druglib.com/ratingsreviews/methadone/
Methimazole,http://www.druglib.com/ratingsreviews/methimazole/
Methotrexate,http://www.druglib.com/ratingsreviews/methotrexate/
Metoprolol,http://www.druglib.com/ratingsreviews/metoprolol/
Metrogel,http://www.druglib.com/ratingsreviews/metrogel/
Metronidazole,http://www.druglib.com/ratingsreviews/metronidazole/
Micardis,http://www.druglib.com/ratingsreviews/micardis/
Minocycline,http://www.druglib.com/ratingsreviews/minocycline/
Minoxidil,http://www.druglib.com/ratingsreviews/minoxidil/
Mirapex,http://www.druglib.com/ratingsreviews/mirapex/
Mirtazapine,http://www.druglib.com/ratingsreviews/mirtazapine/
Mobic,http://www.druglib.com/ratingsreviews/mobic/
Motrin,http://www.druglib.com/ratingsreviews/motrin/
Naprosyn,http://www.druglib.com/ratingsreviews/naprosyn/
Naproxen,http://www.druglib.com/ratingsreviews/naproxen/
Nasonex,http://www.druglib.com/ratingsreviews/nasonex/
Neurontin,http://www.druglib.com/ratingsreviews/neurontin/
Nexium,http://www.druglib.com/ratingsreviews/nexium/
Niaspan,http://www.druglib.com/ratingsreviews/niaspan/
Nitrofurantoin,http://www.druglib.com/ratingsreviews/nitrofurantoin/
Nolvadex,http://www.druglib.com/ratingsreviews/nolvadex/
Nortriptyline,http://www.druglib.com/ratingsreviews/nortriptyline/
Norvasc,http://www.druglib.com/ratingsreviews/norvasc/
Nuvaring,http://www.druglib.com/ratingsreviews/nuvaring/
Omnicef,http://www.druglib.com/ratingsreviews/omnicef/
Oracea,http://www.druglib.com/ratingsreviews/oracea/
Ortho-Tri-Cyclen,http://www.druglib.com/ratingsreviews/ortho-tri-cyclen/
Ortho-Tri-Cyclen-Lo,http://www.druglib.com/ratingsreviews/ortho-tri-cyclen-lo/
Oxazepam,http://www.druglib.com/ratingsreviews/oxazepam/
Oxycodone,http://www.druglib.com/ratingsreviews/oxycodone/
Oxycontin,http://www.druglib.com/ratingsreviews/oxycontin/
Panixine-Disperdose,http://www.druglib.com/ratingsreviews/panixine-disperdose/
Paxil,http://www.druglib.com/ratingsreviews/paxil/
Paxil-Cr,http://www.druglib.com/ratingsreviews/paxil-cr/
Percocet,http://www.druglib.com/ratingsreviews/percocet/
Plavix,http://www.druglib.com/ratingsreviews/plavix/
Prednisolone,http://www.druglib.com/ratingsreviews/prednisolone/
Prednisone,http://www.druglib.com/ratingsreviews/prednisone/
Premarin,http://www.druglib.com/ratingsreviews/premarin/
Prempro,http://www.druglib.com/ratingsreviews/prempro/
Prevacid,http://www.druglib.com/ratingsreviews/prevacid/
Prilosec,http://www.druglib.com/ratingsreviews/prilosec/
Prinivil,http://www.druglib.com/ratingsreviews/prinivil/
Pristiq,http://www.druglib.com/ratingsreviews/pristiq/
Prometrium,http://www.druglib.com/ratingsreviews/prometrium/
Propecia,http://www.druglib.com/ratingsreviews/propecia/
Propranolol,http://www.druglib.com/ratingsreviews/propranolol/
Proquin-Xr,http://www.druglib.com/ratingsreviews/proquin-xr/
Proscar,http://www.druglib.com/ratingsreviews/proscar/
Protonix,http://www.druglib.com/ratingsreviews/protonix/
Protopic,http://www.druglib.com/ratingsreviews/protopic/
Provera,http://www.druglib.com/ratingsreviews/provera/
Provigil,http://www.druglib.com/ratingsreviews/provigil/
Prozac,http://www.druglib.com/ratingsreviews/prozac/
Ranitidine,http://www.druglib.com/ratingsreviews/ranitidine/
Relpax,http://www.druglib.com/ratingsreviews/relpax/
Remeron,http://www.druglib.com/ratingsreviews/remeron/
Remicade,http://www.druglib.com/ratingsreviews/remicade/
Renova,http://www.druglib.com/ratingsreviews/renova/
Requip,http://www.druglib.com/ratingsreviews/requip/
Restasis,http://www.druglib.com/ratingsreviews/restasis/
Restoril,http://www.druglib.com/ratingsreviews/restoril/
Retin-A,http://www.druglib.com/ratingsreviews/retin-a/
Retin-A-Micro,http://www.druglib.com/ratingsreviews/retin-a-micro/
Risperdal,http://www.druglib.com/ratingsreviews/risperdal/
Ritalin,http://www.druglib.com/ratingsreviews/ritalin/
Sarafem,http://www.druglib.com/ratingsreviews/sarafem/
Seasonale,http://www.druglib.com/ratingsreviews/seasonale/
Seasonique,http://www.druglib.com/ratingsreviews/seasonique/
Selegiline,http://www.druglib.com/ratingsreviews/selegiline/
Seroquel,http://www.druglib.com/ratingsreviews/seroquel/
Seroquel-Xr,http://www.druglib.com/ratingsreviews/seroquel-xr/
Singulair,http://www.druglib.com/ratingsreviews/singulair/
Solodyn,http://www.druglib.com/ratingsreviews/solodyn/
Soma,http://www.druglib.com/ratingsreviews/soma/
Sotret,http://www.druglib.com/ratingsreviews/sotret/
Spironolactone,http://www.druglib.com/ratingsreviews/spironolactone/
Strattera,http://www.druglib.com/ratingsreviews/strattera/
Sulfasalazine,http://www.druglib.com/ratingsreviews/sulfasalazine/
Sumatriptan,http://www.druglib.com/ratingsreviews/sumatriptan/
Symbicort,http://www.druglib.com/ratingsreviews/symbicort/
Synthroid,http://www.druglib.com/ratingsreviews/synthroid/
Tamiflu,http://www.druglib.com/ratingsreviews/tamiflu/
Tazorac,http://www.druglib.com/ratingsreviews/tazorac/
Tenormin,http://www.druglib.com/ratingsreviews/tenormin/
